,track_popularity,duration_ms
240,52,148238
241,34,218572
242,49,121482
243,77,207039
244,40,159429
245,49,295347
246,31,260645
247,60,217784
248,50,293680
249,70,234907
250,63,200333
251,1,138053
252,4,196389
253,11,202887
254,53,177987
255,0,174667
256,73,201579
257,51,240200
258,0,243278
259,23,286400
260,74,223613
261,65,180800
262,50,177624
263,30,437813
264,73,205792
265,55,168025
266,0,306144
267,61,265093
268,83,220487
269,74,159188
270,40,265373
271,75,212960
272,35,172710
273,89,159011
274,51,243133
275,28,172027
276,38,237627
277,78,271240
278,76,216707
279,35,262093
280,53,181773
281,40,350093
282,60,231360
283,1,100356
284,67,280646
285,61,171710
286,26,239053
287,18,265173
288,26,221747
289,40,198893
290,4,291162
291,76,161124
292,41,160800
293,40,178053
294,29,218438
295,38,254257
296,83,202621
297,15,195652
298,25,280293
299,61,231933
300,48,299827
301,67,165618
302,48,264373
303,83,255493
304,59,218040
305,58,271200
306,48,234006
307,54,176960
308,37,232893
309,53,180571
310,53,166237
311,4,337453
312,49,149080
313,45,207022
314,58,223357
315,42,228467
316,38,180373
317,43,185973
318,60,210895
319,81,200787
320,66,224224
321,9,266790
322,49,165894
323,8,360010
324,65,330760
325,3,289813
326,22,195692
327,43,267267
328,0,254293
329,84,184732
330,34,321747
331,9,164811
332,41,180337
333,81,173021
334,51,151470
335,8,213461
336,3,192560
337,20,245360
338,36,314787
339,1,193467
340,75,177067
341,38,266040
342,9,443480
343,6,343640
344,51,211403
345,58,222240
346,59,254533
347,39,163385
348,35,279960
349,15,232147
350,81,188048
351,62,219280
352,35,274333
353,43,179160
354,45,279568
355,0,300582
356,67,180333
357,0,202440
358,55,274093
359,70,275733
360,27,295760
361,0,316893
362,76,173067
363,46,203908
364,56,258613
365,57,253707
366,63,240733
367,47,217499
368,29,197390
369,28,263133
370,0,250653
371,3,301133
372,51,277413
373,35,375387
374,69,224031
375,70,238173
376,0,187053
377,62,222936
378,58,246333
379,80,170827
380,0,211005
381,44,218267
382,44,177143
383,59,263587
384,60,255960
385,6,214067
386,34,170400
387,0,261800
388,75,143969
389,0,478173
390,33,243800
391,11,214480
392,50,192441
393,57,270000
394,72,182960
395,78,207400
396,50,205812
397,37,286348
398,63,208968
399,62,305500
400,41,282160
401,43,184219
402,0,264227
403,0,217223
404,24,241693
405,57,271160
406,24,262013
407,61,183937
408,45,222880
409,77,289160
410,13,229307
411,50,299200
412,74,265747
413,56,199518
414,48,183920
415,44,195463
416,73,216721
417,49,259920
418,26,185307
419,22,206893
420,44,239627
421,17,324569
422,24,297480
423,0,179640
424,79,222160
425,2,340582
426,42,156760
427,51,182800
428,62,228253
429,5,181467
430,57,214000
431,60,274667
432,46,239583
433,53,247427
434,76,198944
435,14,268827
436,76,225773
437,74,134799
438,32,189894
439,30,249827
440,18,217933
441,53,259181
442,4,261880
443,10,449440
444,72,225694
445,75,307880
446,56,309000
447,0,209787
448,0,245625
449,43,311507
450,60,237973
451,60,238667
452,65,203680
453,5,139280
454,71,191907
455,32,239560
456,53,231560
457,14,219332
458,0,199960
459,55,194360
460,55,191320
461,47,195561
462,1,202200
463,4,192080
464,56,286667
465,52,108942
466,69,190606
467,55,200625
468,0,247880
469,56,229088
470,1,231000
471,43,144043
472,45,213622
473,43,188073
474,1,189267
475,43,208133
476,52,309267
477,64,182183
478,0,279227
479,71,221379
480,65,276004
481,66,205467
482,58,224880
483,0,174693
484,27,187667
485,17,280200
486,2,357920
487,51,211093
488,30,208753
489,50,273267
490,0,183440
491,38,171304
492,0,180773
493,26,159009
494,58,177339
495,62,269787
496,38,181905
497,50,255093
498,0,199800
499,62,303903
500,0,231364
501,59,236734
502,2,282693
503,78,272027
504,54,176827
505,39,171735
506,34,236706
507,67,185979
508,13,160000
509,72,127920
510,0,200520
511,9,223533
512,36,208427
513,90,241107
514,76,267080
515,74,299760
516,44,197240
517,60,258253
518,38,213281
519,55,219715
520,71,297682
521,70,281040
522,67,208396
523,56,294040
524,66,195455
525,70,122113
526,57,251987
527,58,198573
528,84,179133
529,69,317427
530,7,266840
531,47,163200
532,58,214733
533,39,246109
534,57,186893
535,79,231400
536,54,215951
537,42,199250
538,0,242005
539,73,219189
540,0,205381
541,42,294093
542,39,347213
543,63,248093
544,13,299227
545,1,161427
546,62,274403
547,38,305067
548,52,261157
549,23,205520
550,61,194286
551,74,153800
552,46,245827
553,37,137653
554,1,338333
555,51,179960
556,62,177172
557,27,247507
558,47,252307
559,7,315603
560,0,267427
561,48,245640
562,64,213346
563,6,260693
564,25,182400
565,25,223507
566,52,284667
567,81,220147
568,33,194653
569,50,210058
570,35,162960
571,1,172131
572,28,171697
573,78,235893
574,0,272718
575,41,172628
576,70,198391
577,59,264680
578,45,218807
579,64,145293
580,60,215000
581,47,314600
582,72,328293
583,0,275992
584,40,187976
585,80,176658
586,0,189939
587,63,256947
588,46,185016
589,0,218747
590,45,200637
591,57,325333
592,46,135115
593,64,253520
594,43,190914
595,37,323960
596,79,225133
597,5,217147
598,32,260640
599,39,157049
600,56,186885
601,3,164051
602,8,216765
603,80,222640
604,84,173800
605,54,264707
606,58,173693
607,68,216707
608,58,202560
609,53,225877
610,51,154961
611,17,210091
612,66,322549
613,61,256133
614,33,186606
615,2,229147
616,71,324189
617,0,309453
618,60,459387
619,13,228333
620,49,187242
621,36,240720
622,0,261627
623,52,257707
624,4,284907
625,37,242933
626,54,191994
627,86,183000
628,0,238120
629,54,210787
630,74,320357
631,46,189623
632,62,216660
633,55,172000
634,41,190762
635,53,480547
636,31,256895
637,0,236360
638,63,200293
639,14,220291
640,55,175867
641,49,202307
642,29,229333
643,63,142053
644,27,261240
645,28,191997
646,0,207093
647,10,247507
648,71,268440
649,30,233720
650,3,377760
651,6,329000
652,20,131250
653,61,203507
654,0,232760
655,34,257280
656,33,230600
657,51,207880
658,2,202752
659,46,224360
660,55,254707
661,55,147822
662,47,198187
663,60,224282
664,27,201520
665,35,147067
666,2,236160
667,73,146409
668,50,170693
669,35,249836
670,62,251429
671,40,302163
672,0,252667
673,66,264853
674,45,277500
675,88,218147
676,0,202296
677,69,168636
678,6,188773
679,54,247467
680,7,266267
681,6,312139
682,37,303067
683,0,234987
684,64,215200
685,28,238418
686,59,202160
687,71,227275
688,17,253960
689,31,187260
690,14,271867
691,63,285894
692,54,214213
693,7,162496
694,70,202221
695,60,215267
696,74,140591
697,0,174375
698,69,286907
699,6,462093
700,11,203530
701,32,227080
702,38,321203
703,4,267226
704,0,203320
705,54,359587
706,47,200467
707,44,209680
708,3,267599
709,66,210639
710,58,197240
711,65,220148
712,48,201883
713,34,188902
714,46,185062
715,0,176387
716,48,192500
717,12,405133
718,62,182161
719,69,199853
720,48,133505
721,52,227147
722,67,188650
723,56,274493
724,73,204701
725,46,424907
726,58,189427
727,46,260253
728,64,193880
729,51,348527
730,27,260400
731,40,198995
732,66,325267
733,1,379228
734,46,323133
735,45,252632
736,40,308907
737,64,198975
738,56,256893
739,0,230364
740,1,238200
741,34,191186
742,0,303133
743,51,281773
744,60,221293
745,32,457133
746,32,203080
747,65,157432
748,61,233413
749,55,323080
750,35,365626
751,67,230713
752,53,251947
753,0,250107
754,68,200547
755,58,168937
756,50,191500
757,61,219207
758,58,177097
759,72,170053
760,55,170868
761,54,279573
762,74,187125
763,78,268467
764,48,273053
765,17,277803
766,2,235840
767,75,233713
768,26,218400
769,23,186881
770,39,189071
771,51,224160
772,7,203180
773,32,184762
774,45,293640
775,70,226581
776,68,163333
777,26,265050
778,68,178027
779,65,226906
780,40,175059
781,47,288800
782,35,299640
783,67,160538
784,0,355915
785,69,242053
786,28,281040
787,0,198400
788,50,240617
789,61,314400
790,32,223320
791,60,169720
792,55,232533
793,65,216627
794,46,328573
795,52,177596
796,40,166480
797,0,318794
798,0,215360
799,47,190912
800,42,237040
801,49,149230
802,30,285720
803,19,180093
804,6,167827
805,33,297800
806,58,246000
807,46,209480
808,43,167683
809,46,379973
810,52,224533
811,46,239067
812,41,158308
813,54,238413
814,69,221987
815,0,156213
816,1,173373
817,22,220291
818,2,254627
819,1,363933
820,2,245581
821,12,226453
822,1,227027
823,62,185218
824,88,144935
825,83,228760
826,12,269173
827,38,198680
828,39,231759
829,67,155482
830,39,214373
831,76,220573
832,0,207422
833,60,176618
834,51,206905
835,59,282013
836,59,187392
837,72,189127
838,10,247493
839,0,318800
840,0,230748
841,0,235973
842,0,224533
843,57,221280
844,53,168107
845,0,193173
846,60,190561
847,75,274707
848,69,159404
849,56,202687
850,4,241893
851,55,136027
852,47,183680
853,14,243667
854,39,147554
855,22,229307
856,71,219493
857,0,259827
858,36,271549
859,0,248507
860,47,237474
861,78,223840
862,56,150047
863,0,220027
864,44,300867
865,23,234987
866,78,218013
867,24,231267
868,48,239115
869,62,184600
870,70,235133
871,47,218960
872,2,189667
873,4,197200
874,48,240987
875,70,267110
876,68,184027
877,4,247613
878,52,165634
879,0,261573
880,55,174907
881,0,384987
882,0,213400
883,69,268507
884,59,184467
885,57,191160
886,8,239667
887,48,238128
888,0,204493
889,40,294419
890,51,207267
891,73,229510
892,53,148583
893,58,288659
894,56,186799
895,77,199849
896,0,216547
897,61,209733
898,63,257400
899,72,248400
900,35,201784
901,1,195467
902,38,163200
903,9,211875
904,7,208144
905,56,188136
906,28,423013
907,48,171614
908,51,183787
909,9,213053
910,63,224308
911,0,179183
912,76,333893
913,3,131030
914,49,318467
915,52,218440
916,75,193200
917,41,150757
918,52,298702
919,49,207719
920,44,218320
921,46,231540
922,35,277867
923,0,214102
924,47,279733
925,0,319907
926,12,340027
927,4,180333
928,50,151429
929,0,210000
930,5,459240
931,62,266560
932,66,337413
933,57,163948
934,76,266016
935,45,206947
936,40,219320
937,15,302493
938,47,246013
939,60,296939
940,77,237793
941,47,206676
942,51,301520
943,58,223733
944,21,217347
945,52,344120
946,60,310600
947,66,217082
948,80,199693
949,34,266200
950,68,191240
951,0,268067
952,43,208627
953,48,206520
954,1,279385
955,47,228000
956,0,241467
957,53,195005
958,63,263080
959,53,196749
960,32,204194
961,5,304229
962,8,226720
963,5,214493
964,41,255533
965,84,219947
966,76,244506
967,66,291358
968,55,289293
969,45,230133
970,0,289933
971,53,203285
972,45,274227
973,0,153234
974,66,445187
975,77,270507
976,5,264293
977,58,172381
978,70,208960
979,16,168640
980,26,223147
981,72,229933
982,81,173452
983,56,242360
984,43,219388
985,62,206930
986,1,195867
987,49,244133
988,20,243280
989,14,262000
990,5,351579
991,57,232640
992,51,341802
993,22,225600
994,3,224855
995,47,193760
996,59,222787
997,43,256040
998,59,181827
999,66,229986
1000,67,204978
1001,65,203686
1002,67,262173
1003,5,234427
1004,1,237547
1005,56,183359
1006,46,311080
1007,65,261373
1008,72,204853
1009,19,224207
1010,73,162363
1011,22,281013
1012,25,240373
1013,63,175733
1014,36,205977
1015,65,235000
1016,51,134380
1017,49,87000
1018,39,151893
1019,73,190576
1020,40,259960
1021,57,207739
1022,19,360047
1023,63,210133
1024,71,200013
1025,3,330467
1026,67,206293
1027,49,206719
1028,41,163356
1029,36,292227
1030,49,281152
1031,0,259880
1032,8,326640
1033,58,181046
1034,44,198000
1035,24,249293
1036,61,135732
1037,55,151333
1038,80,224916
1039,57,227027
1040,3,160133
1041,54,186800
1042,76,194742
1043,42,159480
1044,25,335320
1045,56,132780
1046,79,207731
1047,17,370333
1048,30,464267
1049,57,193827
1050,56,252987
1051,48,237336
1052,43,137547
1053,0,300702
1054,40,170559
1055,62,290960
1056,22,199904
1057,30,207427
1058,42,218587
1059,0,244987
1060,45,276040
1061,53,231107
1062,61,194481
1063,0,240867
1064,63,226981
1065,70,161200
1066,62,305547
1067,47,203238
1068,40,215967
1069,58,183707
1070,0,298493
1071,62,179016
1072,57,105621
1073,52,255184
1074,2,210733
1075,0,201911
1076,0,243627
1077,42,217439
1078,12,173975
1079,64,190244
1080,86,135090
1081,15,313227
1082,44,197840
1083,84,200742
1084,64,260320
1085,69,158733
1086,36,373243
1087,68,252253
1088,31,242267
1089,29,184147
1090,55,199343
1091,49,134447
1092,62,243227
1093,53,227413
1094,14,254067
1095,52,230040
1096,42,162880
1097,53,188000
1098,0,217627
1099,0,216587
1100,53,196493
1101,61,173427
1102,39,345267
1103,32,217500
1104,54,179500
1105,1,250125
1106,41,190813
1107,49,271246
1108,0,204400
1109,62,221501
1110,60,253573
1111,24,235933
1112,69,205560
1113,48,178541
1114,55,142232
1115,57,270257
1116,55,205813
1117,48,179680
1118,59,201290
1119,33,206667
1120,0,350320
1121,44,242120
1122,73,225227
1123,69,259840
1124,44,250333
1125,49,184907
1126,17,206320
1127,63,235520
1128,21,206169
1129,0,288014
1130,47,180326
1131,15,234667
1132,64,209413
1133,27,228600
1134,24,285000
1135,66,133747
1136,37,260853
1137,58,244146
1138,0,279560
1139,36,161000
1140,57,189695
1141,38,200933
1142,54,241800
1143,60,211787
1144,53,219749
1145,51,291707
1146,52,221267
1147,40,181032
1148,58,269173
1149,75,193321
1150,60,211573
1151,35,208000
1152,47,205896
1153,58,165227
1154,0,202040
1155,36,174375
1156,82,206693
1157,5,242573
1158,30,204802
1159,0,217640
1160,74,235373
1161,57,176571
1162,0,137867
1163,60,310000
1164,0,97653
1165,32,206735
1166,10,138400
1167,3,224520
1168,62,224693
1169,27,216667
1170,51,215041
1171,1,218627
1172,45,158133
1173,39,257015
1174,67,181714
1175,21,210200
1176,36,200083
1177,42,170613
1178,56,127128
1179,35,160385
1180,65,207630
1181,9,242533
1182,64,235000
1183,56,173451
1184,38,214400
1185,57,159500
1186,54,197600
1187,31,166829
1188,28,284800
1189,51,227893
1190,39,167077
1191,39,249453
1192,62,165112
1193,31,187080
1194,57,163292
1195,28,269067
1196,23,184912
1197,63,219320
1198,50,193000
1199,6,194000
1200,0,256573
1201,67,241371
1202,50,350912
1203,75,216000
1204,40,228600
1205,62,237747
1206,82,199080
1207,45,180187
1208,69,213507
1209,16,215556
1210,75,179577
1211,47,262333
1212,1,243933
1213,68,162040
1214,67,250747
1215,48,233584
1216,49,306467
1217,29,180581
1218,32,213827
1219,0,212235
1220,75,188453
1221,79,315862
1222,62,262813
1223,54,249014
1224,66,184814
1225,40,213978
1226,3,313720
1227,74,214987
1228,3,185613
1229,63,187240
1230,14,237200
1231,62,329538
1232,56,185333
1233,38,176333
1234,71,222320
1235,58,220488
1236,66,245040
1237,50,323453
1238,52,202000
1239,1,186562
1240,51,198488
1241,63,172749
1242,55,253467
1243,9,292593
1244,31,225220
1245,41,300467
1246,1,261532
1247,56,339107
1248,65,268653
1249,62,223067
1250,42,256533
1251,26,250521
1252,71,231533
1253,23,272773
1254,75,204173
1255,14,206550
1256,18,192245
1257,52,258027
1258,19,197467
1259,62,315440
1260,66,217747
1261,43,271827
1262,77,184060
1263,67,228042
1264,6,274813
1265,46,164062
1266,62,203226
1267,58,227631
1268,75,192960
1269,0,263440
1270,31,477018
1271,50,204889
1272,0,317147
1273,26,216333
1274,50,215267
1275,6,193387
1276,64,218280
1277,62,179040
1278,65,138157
1279,29,250748
1280,81,205947
1281,61,234347
1282,43,304173
1283,70,175254
1284,1,250227
1285,4,205533
1286,68,191520
1287,20,332042
1288,43,271160
1289,44,171840
1290,31,213723
1291,70,231480
1292,72,189052
1293,42,142041
1294,59,196467
1295,72,217907
1296,2,213618
1297,54,166164
1298,30,182449
1299,2,230240
1300,68,163998
1301,31,275160
1302,10,222374
1303,42,180200
1304,48,254694
1305,0,174067
1306,2,236871
1307,71,200987
1308,29,192320
1309,58,234080
1310,43,169079
1311,49,173195
1312,18,219280
1313,5,275227
1314,26,297760
1315,0,226441
1316,74,205746
1317,61,235520
1318,58,194311
1319,56,207360
1320,45,188160
1321,69,179842
1322,61,275013
1323,2,261427
1324,54,248707
1325,66,203113
1326,48,228867
1327,50,163077
1328,0,146280
1329,31,265798
1330,57,200240
1331,15,382987
1332,49,258427
1333,62,205053
1334,56,233546
1335,45,320640
1336,0,241693
1337,18,249760
1338,76,233640
1339,69,239062
1340,23,155625
1341,50,205737
1342,41,232385
1343,40,293840
1344,10,265025
1345,46,217202
1346,36,260440
1347,0,212613
1348,2,251260
1349,55,245667
1350,60,266013
1351,63,251034
1352,52,221893
1353,14,361227
1354,2,233507
1355,9,236947
1356,57,221294
1357,42,243840
1358,56,248400
1359,24,214764
1360,48,220976
1361,76,263827
1362,51,206067
1363,11,204200
1364,52,214924
1365,13,348750
1366,48,173160
1367,46,158797
1368,54,220476
1369,4,222447
1370,54,266867
1371,33,377560
1372,3,270333
1373,52,232560
1374,70,244340
1375,98,196653
1376,67,390639
1377,36,291947
1378,57,243000
1379,1,186373
1380,32,225373
1381,47,285760
1382,46,232637
1383,46,237027
1384,55,188000
1385,42,195227
1386,51,182316
1387,0,197680
1388,53,315293
1389,59,181615
1390,29,236380
1391,71,173926
1392,82,213827
1393,51,194430
1394,0,66839
1395,58,266016
1396,26,195092
1397,25,281430
1398,18,267147
1399,60,315640
1400,26,207759
1401,38,333061
1402,9,187733
1403,0,291467
1404,33,193661
1405,0,270280
1406,0,254112
1407,11,196947
1408,2,236853
1409,53,189131
1410,64,267720
1411,42,277733
1412,59,228994
1413,66,173054
1414,32,235493
1415,74,166829
1416,52,210027
1417,45,254427
1418,69,240333
1419,53,294000
1420,0,272947
1421,21,202505
1422,67,218507
1423,43,332742
1424,53,154021
1425,75,219306
1426,79,203347
1427,10,263627
1428,59,274227
1429,0,265787
1430,48,128052
1431,40,292627
1432,55,144116
1433,70,210160
1434,29,231760
1435,1,197803
1436,1,222560
1437,73,164797
1438,1,277840
1439,53,250200
1440,42,239253
1441,57,199805
1442,6,380854
1443,40,196933
1444,46,203095
1445,68,167912
1446,3,250627
1447,62,187524
1448,65,225520
1449,34,234093
1450,57,234356
1451,68,241080
1452,5,220400
1453,67,270973
1454,74,230907
1455,30,166164
1456,1,278789
1457,26,216897
1458,79,257800
1459,0,213781
1460,53,198000
1461,63,226773
1462,71,206960
1463,35,197293
1464,41,203437
1465,49,169682
1466,73,202805
1467,43,163630
1468,44,211393
1469,37,236467
1470,42,201017
1471,51,190560
1472,72,183637
1473,50,202691
1474,56,209779
1475,51,248400
1476,73,203160
1477,33,162493
1478,73,189296
1479,10,187842
1480,10,288000
1481,77,186120
1482,60,304333
1483,29,172909
1484,0,242666
1485,78,167760
1486,41,306040
1487,1,235733
1488,50,252240
1489,57,236107
1490,64,272160
1491,74,181238
1492,49,218440
1493,33,284345
1494,67,222097
1495,51,225698
1496,1,242553
1497,64,262827
1498,72,172245
1499,40,286027
1500,40,172174
1501,69,456940
1502,1,273600
1503,51,214071
1504,62,177227
1505,65,205593
1506,56,298907
1507,16,233877
1508,48,207867
1509,0,267400
1510,65,215781
1511,69,228840
1512,22,149375
1513,0,209933
1514,41,292284
1515,35,301107
1516,76,171806
1517,41,296250
1518,36,199592
1519,77,193147
1520,2,243360
1521,49,175547
1522,45,281867
1523,54,360960
1524,41,210000
1525,61,212227
1526,48,257076
1527,39,222867
1528,74,267307
1529,78,202747
1530,0,174298
1531,38,242390
1532,79,200890
1533,36,426013
1534,0,303653
1535,58,247547
1536,0,276898
1537,51,201120
1538,48,286347
1539,10,317027
1540,51,233987
1541,3,166600
1542,54,144000
1543,26,192645
1544,71,182293
1545,60,181132
1546,19,275693
1547,69,180020
1548,88,204347
1549,73,254293
1550,77,199301
1551,22,316467
1552,2,336133
1553,73,230227
1554,42,304363
1555,33,221309
1556,73,238587
1557,64,367000
1558,65,142212
1559,78,199387
1560,71,178440
1561,67,299240
1562,58,289309
1563,35,215947
1564,68,286440
1565,60,141067
1566,0,181459
1567,47,163024
1568,63,207920
1569,57,143888
1570,2,232667
1571,19,294893
1572,47,168020
1573,72,229467
1574,76,207640
1575,5,222360
1576,58,225866
1577,27,238840
1578,69,134440
1579,40,224372
1580,74,298773
1581,1,312287
1582,44,182378
1583,44,137856
1584,38,188075
1585,44,178333
1586,75,233867
1587,77,275080
1588,62,382262
1589,63,242012
1590,60,346960
1591,0,236013
1592,0,153696
1593,59,172373
1594,22,244787
1595,15,233613
1596,3,208000
1597,58,221587
1598,83,174444
1599,25,194815
1600,75,223840
1601,41,190777
1602,75,281227
1603,24,171533
1604,61,280000
1605,0,228053
1606,69,229960
1607,76,269600
1608,56,174730
1609,71,220893
1610,14,300187
1611,19,282200
1612,19,246160
1613,7,153733
1614,52,412973
1615,56,258027
1616,26,224653
1617,40,195973
1618,56,249067
1619,51,123711
1620,48,342067
1621,42,217143
1622,55,279933
1623,34,246741
1624,70,195467
1625,0,167160
1626,77,210960
1627,37,168398
1628,64,173954
1629,47,279720
1630,36,210234
1631,7,331431
1632,70,142787
1633,0,244374
1634,3,218480
1635,47,226750
1636,70,224893
1637,3,357507
1638,0,252693
1639,64,215400
1640,57,207613
1641,0,169200
1642,48,270333
1643,0,195875
1644,4,199947
1645,70,166267
1646,61,261527
1647,75,280000
1648,69,225205
1649,0,270627
1650,39,192733
1651,63,192827
1652,17,229849
1653,71,189880
1654,0,174693
1655,51,187171
1656,52,259813
1657,71,334067
1658,56,285200
1659,69,239999
1660,20,201122
1661,30,269920
1662,54,159750
1663,59,243560
1664,67,162600
1665,62,190564
1666,71,273427
1667,43,231280
1668,71,190909
1669,29,144333
1670,52,153995
1671,45,286511
1672,71,222213
1673,36,166000
1674,35,248467
1675,39,312920
1676,45,214326
1677,49,290787
1678,72,403453
1679,3,354093
1680,38,200000
1681,52,198371
1682,2,243560
1683,51,201500
1684,82,169227
1685,61,170160
1686,68,194182
1687,57,220560
1688,67,196000
1689,51,271800
1690,50,291667
1691,83,193837
1692,62,230281
1693,87,157560
1694,67,224320
1695,9,284080
1696,28,243720
1697,3,254267
1698,33,236880
1699,41,147988
1700,57,161345
1701,62,184555
1702,53,170005
1703,65,192107
1704,21,311707
1705,48,262027
1706,21,213867
1707,7,511293
1708,30,281067
1709,0,209000
1710,3,195547
1711,68,320654
1712,69,79360
1713,1,245533
1714,73,220590
1715,44,265588
1716,39,248000
1717,1,266857
1718,0,116067
1719,34,241839
1720,32,278215
1721,53,396823
1722,0,169307
1723,49,163125
1724,55,211973
1725,84,186107
1726,16,207453
1727,53,190355
1728,75,221093
1729,37,245867
1730,60,205120
1731,80,231547
1732,29,222613
1733,27,270200
1734,7,433107
1735,69,251867
1736,41,203000
1737,18,239836
1738,46,186707
1739,69,188173
1740,79,204453
1741,42,221160
1742,57,196953
1743,5,262027
1744,56,237240
1745,60,235267
1746,5,268467
1747,48,129240
1748,35,291573
1749,48,171914
1750,57,185812
1751,34,305773
1752,25,188267
1753,50,202147
1754,98,201573
1755,49,204224
1756,53,266627
1757,10,249307
1758,11,368267
1759,12,220707
1760,76,222360
1761,47,224640
1762,35,266960
1763,74,200626
1764,22,185104
1765,78,124000
1766,63,324373
1767,43,243240
1768,0,165893
1769,35,224133
1770,53,275533
1771,45,229181
1772,78,294573
1773,42,345067
1774,0,203658
1775,53,184615
1776,63,213400
1777,13,216575
1778,50,209733
1779,24,302147
1780,47,252267
1781,29,240987
1782,65,283067
1783,43,243800
1784,67,262000
1785,28,207253
1786,65,157049
1787,44,215813
1788,33,265546
1789,37,166700
1790,58,295933
1791,67,251573
1792,27,191573
1793,64,270720
1794,78,218933
1795,3,195453
1796,0,187360
1797,40,183107
1798,32,125714
1799,60,236300
1800,73,160856
1801,68,241267
1802,0,404213
1803,44,322573
1804,50,243933
1805,64,280013
1806,31,84347
1807,0,235960
1808,50,296707
1809,6,276267
1810,74,252440
1811,53,248427
1812,10,203180
1813,73,217603
1814,30,160312
1815,58,219400
1816,3,196227
1817,6,287867
1818,64,191639
1819,38,213853
1820,48,232760
1821,40,190202
1822,5,267973
1823,48,226333
1824,49,211548
1825,59,135200
1826,61,227707
1827,55,277500
1828,23,191947
1829,0,232480
1830,42,181880
1831,4,213253
1832,0,310253
1833,19,296307
1834,42,168000
1835,37,158569
1836,9,192155
1837,56,171107
1838,36,297520
1839,90,174853
1840,52,271640
1841,43,137973
1842,61,232680
1843,50,277240
1844,52,140808
1845,23,180125
1846,0,259867
1847,0,277707
1848,57,225720
1849,3,156057
1850,61,235425
1851,65,227693
1852,43,244813
1853,82,197993
1854,0,225158
1855,7,224402
1856,30,236373
1857,54,178298
1858,0,229973
1859,41,287293
1860,1,327640
1861,44,230213
1862,60,209208
1863,79,245040
1864,9,189600
1865,58,258969
1866,63,192867
1867,39,189507
1868,0,266867
1869,0,277453
1870,21,229168
