Local time in Moscow;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;Ee;sss
"31.12.2019 06:00";"0.5";"732.4";"746.9";"-0.8";"94";"Wind blowing from the west-southwest";"2";"";"10";"100%.";"Snow not falling as shower(s). ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"";"-0.3";"1.0";"12";"";"";"";"";
"31.12.2019 03:00";"-0.2";"733.2";"747.8";"-1.8";"95";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"";"-0.9";"";"";"";"";"";"";
"31.12.2019 00:00";"-0.4";"735.0";"749.7";"-2.2";"90";"Wind blowing from the west-southwest";"2";"";"11";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-1.8";"";"";"";"";"";"";
"30.12.2019 21:00";"-0.6";"737.2";"751.9";"-3.1";"91";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-0.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"";"-1.9";"3.0";"12";"";"";"";"";
"30.12.2019 18:00";"-1.7";"740.3";"755.1";"-4.4";"90";"Wind blowing from the south-west";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"";"-3.1";"3.0";"12";"";"";"";"";
"30.12.2019 15:00";"-3.0";"744.7";"759.6";"-3.9";"88";"Wind blowing from the south-west";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-4.7";"";"";"";"";"";"";
"30.12.2019 12:00";"-3.4";"748.6";"763.7";"-3.3";"84";"Wind blowing from the south-west";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"-5.8";"";"";"";"";"";"";
"30.12.2019 09:00";"-3.7";"751.9";"767.0";"-2.1";"87";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-4.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-5.6";"No precipitation";"12";"";"";"Loose dry snow covering less than one-half of the ground.";"less than 0.5";
"30.12.2019 06:00";"-3.6";"754.0";"769.3";"-2.2";"89";"Wind blowing from the south-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-4.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-5.1";"No precipitation";"12";"";"";"";"";
"30.12.2019 03:00";"-3.7";"756.2";"771.5";"-1.1";"90";"Wind blowing from the west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-5.1";"";"";"";"";"";"";
"30.12.2019 00:00";"-3.5";"757.3";"772.6";"-1.2";"90";"Wind blowing from the south-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-4.9";"";"";"";"";"";"";
"29.12.2019 21:00";"-4.0";"758.5";"773.8";"-0.5";"89";"Wind blowing from the west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-3.4";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-5.5";"0.1";"12";"";"";"";"";
"29.12.2019 18:00";"-4.4";"759.0";"774.4";"-0.1";"89";"Wind blowing from the north";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-6.0";"0.1";"12";"";"";"";"";
"29.12.2019 15:00";"-3.5";"759.1";"774.4";"-0.2";"84";"Wind blowing from the north";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"10.0";"-5.9";"";"";"";"";"";"";
"29.12.2019 12:00";"-3.6";"759.3";"774.6";"0.5";"88";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"4.0";"-5.4";"";"";"";"";"";"";
"29.12.2019 09:00";"-3.5";"758.8";"774.1";"0.7";"88";"Wind blowing from the north";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-5.2";"Trace of precipitation";"12";"";"";"";"";
"29.12.2019 06:00";"-3.4";"758.1";"773.3";"0.5";"89";"Wind blowing from the north";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation.  Diameter of glaze deposit is 3 mm.";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-5.0";"Trace of precipitation";"12";"";"";"";"";
"29.12.2019 03:00";"-2.9";"757.6";"772.8";"0.9";"87";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-4.8";"";"";"";"";"";"";
"29.12.2019 00:00";"-2.3";"756.7";"771.9";"1.2";"87";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation.  Diameter of glaze deposit is 3 mm.";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-4.2";"";"";"";"";"";"";
"28.12.2019 21:00";"-1.3";"755.5";"770.5";"1.5";"77";"Wind blowing from the east-northeast";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-0.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-4.9";"Trace of precipitation";"12";"";"";"";"";
"28.12.2019 18:00";"-0.7";"754.0";"769.0";"1.3";"85";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Snow not falling as shower(s).  Diameter of glaze deposit is 3 mm.";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-3.0";"Trace of precipitation";"12";"";"";"";"";
"28.12.2019 15:00";"-0.3";"752.7";"767.7";"1.1";"83";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"28.12.2019 12:00";"-0.7";"751.6";"766.6";"1.5";"91";"Wind blowing from the north-east";"2";"";"";"100%.";"Mist.  Diameter of glaze deposit is 3 mm.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-2.0";"";"";"";"";"";"";
"28.12.2019 09:00";"-1.2";"750.1";"765.1";"1.1";"90";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-2.6";"No precipitation";"12";"";"";"";"";
"28.12.2019 06:00";"-2.6";"749.0";"764.0";"1.1";"92";"Wind blowing from the north";"1";"";"";"100%.";"Mist.  Diameter of glaze deposit is 3 mm.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-3.8";"No precipitation";"12";"";"";"";"";
"28.12.2019 03:00";"-2.9";"747.9";"763.0";"1.1";"90";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-4.3";"";"";"";"";"";"";
"28.12.2019 00:00";"-2.3";"746.8";"761.8";"1.2";"91";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Mist.  Diameter of glaze deposit is 3 mm.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-3.6";"";"";"";"";"";"";
"27.12.2019 21:00";"-1.1";"745.6";"760.4";"0.7";"92";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-0.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-2.3";"1.0";"12";"";"";"";"";
"27.12.2019 18:00";"-0.6";"744.9";"759.7";"1.1";"91";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Mist.  Diameter of glaze deposit is 3 mm.";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"";"";"";"-1.9";"3.0";"12";"";"";"";"";
"27.12.2019 15:00";"-0.4";"743.8";"758.6";"0.3";"96";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-1.0";"";"";"";"";"";"";
"27.12.2019 12:00";"-0.4";"743.5";"758.4";"0.2";"96";"Calm, no wind";"0";"";"";"100%.";"Mist.  Diameter of glaze deposit is 3 mm.";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"4.0";"-1.0";"";"";"";"";"";"";
"27.12.2019 09:00";"-0.4";"743.3";"758.2";"0.3";"95";"Calm, no wind";"0";"";"";"100%.";"Rain, freezing, slight. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"-1.1";"3.0";"12";"";"";"";"";
"27.12.2019 06:00";"-0.6";"743.0";"757.9";"-0.5";"96";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation.  Diameter of glaze deposit is 1 mm.";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"";"-1.1";"1.0";"12";"";"";"";"";
"27.12.2019 03:00";"-0.9";"743.5";"758.4";"-0.2";"99";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"Altostratus opacus or Nimbostratus.";"";"";"-1.1";"";"";"";"";"";"";
"27.12.2019 00:00";"-0.8";"743.7";"758.5";"-0.2";"98";"Wind blowing from the south-east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-1.1";"";"";"";"";"";"";
"26.12.2019 21:00";"-0.8";"743.9";"758.8";"-0.2";"98";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"0.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-1.1";"No precipitation";"12";"";"";"";"";
"26.12.2019 18:00";"-0.6";"744.1";"758.9";"0.1";"98";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-0.9";"No precipitation";"12";"";"";"";"";
"26.12.2019 15:00";"-0.2";"744.0";"758.8";"-0.3";"98";"Wind blowing from the east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"1.0";"-0.5";"";"";"";"";"";"";
"26.12.2019 12:00";"-0.3";"744.3";"759.1";"0.2";"98";"Wind blowing from the south";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"1.0";"-0.6";"";"";"";"";"";"";
"26.12.2019 09:00";"-0.2";"744.1";"759.0";"0.0";"98";"Wind blowing from the east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"1.0";"-0.5";"No precipitation";"12";"";"";"";"";
"26.12.2019 06:00";"0.3";"744.1";"758.8";"-0.2";"95";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-0.4";"No precipitation";"12";"";"";"";"";
"26.12.2019 03:00";"0.2";"744.3";"759.1";"-0.1";"96";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-0.4";"";"";"";"";"";"";
"26.12.2019 00:00";"0.0";"744.4";"759.1";"-0.2";"97";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-0.4";"";"";"";"";"";"";
"25.12.2019 21:00";"0.3";"744.6";"759.4";"-0.1";"94";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"0.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-0.5";"No precipitation";"12";"";"";"";"";
"25.12.2019 18:00";"0.2";"744.7";"759.4";"0.4";"96";"Wind blowing from the south-east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"-0.4";"No precipitation";"12";"";"";"";"";
"25.12.2019 15:00";"0.6";"744.3";"759.1";"0.0";"94";"Wind blowing from the south";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"4.0";"-0.2";"";"";"";"";"";"";
"25.12.2019 12:00";"0.6";"744.3";"759.1";"0.0";"95";"Wind blowing from the south-east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"4.0";"-0.1";"";"";"";"";"";"";
"25.12.2019 09:00";"0.6";"744.3";"759.1";"0.3";"97";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.1";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"4.0";"0.1";"No precipitation";"12";"";"";"";"";
"25.12.2019 06:00";"0.5";"744.0";"758.8";"-0.2";"99";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Fog or ice fog. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.1";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"";"0.3";"No precipitation";"12";"";"";"";"";
"25.12.2019 03:00";"0.3";"744.2";"758.8";"-0.2";"100";"Wind blowing from the south-southeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"25.12.2019 00:00";"0.2";"744.4";"759.0";"0.0";"100";"Wind blowing from the south-east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
